1_1	What is a physician's assistant?
1_2	What are the educational requirements required to become a physician's assistant?
1_3	What does becoming a physician's assistant cost?
1_4	What's the average starting salary for a physician assistant in the UK?
1_5	What is the average starting salary for a physician's assistant in the US?
1_6	What school subjects are needed to become a registered nurse?
1_7	What is the PA average salary vs an RN in the UK?
1_8	What the difference between a PA and a nurse practitioner?
1_9	Do NPs or PAs make more than PAs?
1_10	Is a PA above a NP?
1_11	What is the fastest way to become a NP?
1_12	How much longer does it take to become a doctor after being an NP?
2_1	What are the main breeds of goat?
2_2	Tell me about boer goats.
2_3	What breed of goat is good for meat?
2_4	Are angora goats good for meat?
2_5	What about boer goats?
2_6	What are pygmies used for?
2_7	What is the best for fiber production in goats?
2_8	How long do Angora goats live?
2_9	Can you milk angora goats?
2_10	How many Angora goats per acre can you have?
2_11	Are angora goats profitable?
3_1	Tell me about the types of irregular heart beat.
3_2	How serious is an irregular heart beat?
3_3	What are the different types of tachycardia?
3_4	What is atrial flutter?
3_5	What causes atrial flutter?
3_6	What's the difference between flutter and fibrillation in an irregular heart beat?
3_7	How does afib affect an ECG?
3_8	Does afib shorten your life?
3_9	What triggers atrial flutter?
3_10	How do you stop an atrial flutter attack?
3_11	What is the best exercise for atrial flutter?
4_1	What was the neolithic revolution?
4_2	When did the neolithic revolution start and end?
4_3	Why did the neolithic revolution start?
4_4	What did the neolithic invent?
4_5	What tools were used during the neolithic revolution?
4_6	When was the neolithic revolution brought to the british isles?
4_7	Describe the period that follows the neolithic revolution.
4_8	What was the neolithic revolution's significance?
4_9	What were the houses like in the neolithic revolution?
5_1	What are the best ways to cook a turkey?
5_2	Should I brine a turkey before smoking it?
5_3	How much salt do I use to brine a turkey?
5_4	What kind of wood should I use to brine a turkey?
5_5	How long should a turkey be smoked for?
5_6	Is smoked turkey healthy?
5_7	What can you do with leftovers of smoked turkey?
5_8	How long are leftovers good for in the fridge?
5_9	What's a recipe for smoked turkey soup?
5_10	How about a recipe for smoked turkey soup?
6_1	What are the most important US supreme court cases?
6_2	What did Plessy v. Ferguson establish?
6_3	How about Marbury vs Madison?
6_4	Was Marbury vs Madison unanimous?
6_5	What was the implication of Roe vs Wade?
6_6	What were the main arguments in Roe vs Wade?
6_7	What was the point of Brown v Board of Ed?
6_8	What were the main arguments in Brown v Board of Ed?
6_9	Why is Brown v Board of Ed important today?
7_1	What are the different types of macromolecules?
7_2	Tell me about the characteristics of carbohydrates.
7_3	What are carbohydrates composed of?
7_4	What is the basic structure of carbohydrates?
7_5	What are the main types of macromolecules with examples of each?
7_6	Tell me about lipids.
7_7	What is the function of lipids?
7_8	What are the types of lipids?
7_9	What is the most common type of lipids?
